,,,Marketing Heads/Chief Marketing Officers in India,,,,
S/N,Name of the company,Annual revenue (USD),Name of the person,Job Title/Desgination,Location of the person/City in India,LinkedIn Profile,Research Reference
1,Reliance Industries,86.85B,Gunjan Sharma,Chief Marketing Officer,"Mumbai, Maharashtra",Gunjan Sharma,"""List of largest companies in India."" Wikipedia, Wikimedia Foundation, 11 Oct. 2022, en.wikipedia.org/wiki/List_of_largest_companies_in_India. Accessed 7 Nov. 2022."
2,Tata Consultancy Services Ltd,25.73B,Rajashree R,Chief Marketing Officer,"Mumbai, Maharashtra",Rajashree R,"""Top 20 Chief Marketing Officer (Chief Marketing Officer) of India."" Startuplanes, 3 Oct. 2022, startuplanes.com/top-20-chief-marketing-officer-Chief Marketing Officer-of-india/. Accessed 7 Nov. 2022."
3,HDFC Bank Ltd,22.51B,Ravi Santhanam,Chief Marketing Officer,"Mumbai, Maharashtra",Ravi Santhanam,"""List of largest companies by revenue."" Wikipedia, Wikimedia Foundation, 1 Nov. 2022, en.wikipedia.org/wiki/List_of_largest_companies_by_revenue. Accessed 6 Nov. 2022."
4,Infosys Ltd,16.33B,Sumit Virmani,Chief Marketing Officer,"Bengaluru, Karnataka",Sumit Virmani," ""Lighthouse Canton: Revenue, Competitors, Alternatives - Growjo."" https://growjo.com/company/Lighthouse_Canton. Accessed 7 Nov. 2022."
5,ICICI Bank,21.89B,Sujit Ganguli,Chief Marketing Officer,"Mumbai, Maharashtra",Sujit Ganguli,Query Builder | Companies - Crunchbase. https://www.crunchbase.com/search/organization.companies. Accessed 7 Nov. 2022.
6,Kotak Mahindra Bank Ltd,7.92B,Karthi Kumar Marshan,Chief Marketing Officer,"Mumbai, Maharashtra",Karthi Kumar Marshan,"""List of largest companies by revenue."" Wikipedia, Wikimedia Foundation, 1 Nov. 2022, en.wikipedia.org/wiki/List_of_largest_companies_by_revenue. Accessed 6 Nov. 2022."
7,Bharti Airtel Ltd,14.98B,Kaustubh Chandra,Chief Marketing Officer,"Gurgaon, Haryana",Kaustubh Chandra,"""List of largest companies in India."" Wikipedia, Wikimedia Foundation, 11 Oct. 2022, en.wikipedia.org/wiki/List_of_largest_companies_in_India. Accessed 7 Nov. 2022."
8,ITC Limited,7.91B,Shuvadip Banerjee,Chief Digital Marketing Officer,"Bengaluru, Karnataka",Shuvadip Banerjee,"""Top 20 Chief Marketing Officer (Chief Marketing Officer) of India."" Startuplanes, 3 Oct. 2022. startuplanes.com/top-20-chief-marketing-officer-Chief Marketing Officer-of-india/. Accessed 7 Nov. 2022."
9,Axis Bank Ltd,11.41B,Anoop Manohar,Chief Marketing Officer,"Gurgaon, Haryana",Anoop Manohar,"""Federal Bank (FEDERALBNK.NS) - Revenue."" https://companiesmarketcap.com/federal-bank/revenue/. Accessed 7 Nov. 2022."
